country,year,VC.IHR.PSRC.P5,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.CD,SP.POP.0014.FE.ZS,SP.POP.0014.MA.ZS,SP.POP.1564.MA.ZS,SP.POP.1564.FE.ZS,SP.POP.65UP.TO.ZS,SP.POP.65UP.FE.ZS,SP.POP.0014.TO,SP.POP.1564.TO,SP.POP.65UP.TO,SM.POP.NETM
Mexico,2017,,0.759384587481421,8910.33317708802,25.9559915586004,27.3849997850322,66.2756584332817,66.6728752259533,6.85734233002885,7.37113321544627,34444709,85861399,8857168,-300000.0
Mexico,2016,19.2639600963009,1.56708662664158,8450.49401034813,26.3520356058472,27.8142551255868,66.0408343045701,66.4844051086433,6.65633514481914,7.1635592855095,34538104,84512801,8489518,
Mexico,2015,16.4920513864742,1.9183641014212,9298.24287787114,26.7380732107147,28.2129930180912,65.8148686282791,66.2748344365623,6.48177654137789,6.98709235272307,34585254,83145725,8159970,
Mexico,2014,16.1083096659518,1.40933167047234,10582.4105262309,27.1850997475192,28.6715958152095,65.5134663583591,65.985086165937,6.32456191193802,6.82981408654385,34689062,81676066,7856472,
Mexico,2013,18.8214123479123,-0.058379272845329,10400.5631580436,27.6454924136106,29.1214927403084,65.194885165033,65.6452162175268,6.19873255337786,6.70929136886263,34775974,80164318,7595677,
Mexico,2012,21.4908249935175,2.15127792704104,9940.46856102562,28.1160814424395,29.5710601790658,64.8581140733721,65.268138790345,6.09570735771378,6.61577976721546,34847148,78615819,7365340,-300000.0
Mexico,2011,22.8507818585667,2.12135842724459,9912.58236160645,28.5904580525579,30.039967396883,64.497164873728,64.8775648959116,5.99993112772836,6.53197705153054,34907437,77037261,7145319,
Mexico,2010,21.9546816400261,3.49302593059204,9016.45792714789,29.0650261749312,30.5414865785565,64.1090322915113,64.4904110380778,5.89955291192067,6.44456278699107,34960861,75436787,6921293,
Mexico,2009,17.1446785075391,-6.79734722052427,7792.24772968156,29.5645878605629,31.0469506141367,63.719981250506,64.0909926203368,5.79138894042095,6.34441951910027,35000671,73815200,6689357,
Mexico,2008,12.3225207510115,-0.480829743140049,9765.71702801791,30.0520159066358,31.5632849936093,63.3220662115225,63.7045517937203,5.68174838744648,6.2434322996439,35012408,72191423,6457978,
Mexico,2007,7.92854945386002,0.696320208324579,9412.82793948646,30.5298305096509,32.0818778821205,62.9219364740533,63.3266699569812,5.57259533497276,6.14349953336791,35007154,70597005,6232187,-246002.0
Mexico,2006,9.49384525057675,2.95729931656987,8859.71535391932,31.0132792036812,32.5912927521382,62.5251109369577,62.9355636625846,5.47026062058538,6.05115713373421,35007595,69062443,6022340,
Mexico,2005,9.14611987134624,0.915079041884766,8089.40903640424,31.514707617071,33.0853701965569,62.1339128103612,62.5146552389426,5.37886711426265,5.97063714398645,35032014,67605637,5834577,
Mexico,2004,8.71905151449102,2.60440647560611,7310.96163086246,31.9050371833318,33.4712596936705,61.8324383459544,62.2004958471504,5.29876826784523,5.8944669695177,34970145,66355990,5669448,
Mexico,2003,9.54842554489993,0.212547785634371,6903.94918769848,32.3095565752473,33.8589257756276,61.5192360003857,61.8590181319129,5.2302852203786,5.83142529283987,34945400,65169756,5525297,
Mexico,2002,9.66694573807667,-1.27411124738923,7398.80102021328,32.718549135116,34.2502611293247,61.1954185512398,61.5051215829016,5.16928424201218,5.77632928198239,34937680,64023490,5394438,-2911437.0
Mexico,2001,9.97893915057329,-1.70640278087298,7341.88247782299,33.1125869557754,34.6430986645351,60.8682099627225,61.1669894963088,5.10874239674694,5.72042354791572,34911535,62890102,5265431,
Mexico,2000,10.5554802560169,3.47839861088156,6959.38871701488,33.4841679409513,35.0376029914494,60.5417131457223,60.8593497500871,5.04287405642761,5.65648230896158,34844571,61745507,5129595,
Mexico,1999,12.4338048853921,1.23825745722954,5984.34106789082,33.8441159012369,35.4257735386118,60.2207616014976,60.5778529530676,4.97003910615511,5.57803114569544,34733488,60582113,4984978,
Mexico,1998,14.0780699700077,3.52538744626656,5327.81190127662,34.1868903222374,35.8061097430464,59.908317038258,60.321572866677,4.89276134526899,5.49153681108562,34578470,59407888,4835098,
Mexico,1997,14.1992969608716,5.0958088728446,5143.96112007388,34.5342283723639,36.1922427179524,59.5915685170641,60.0679347989713,4.81110026209544,5.39783682866485,34396392,58205025,4680322,-2354719.0
Mexico,1996,15.4541353492245,4.94116758001223,4294.97898334837,34.9200343615461,36.6078920518139,59.2470659830744,59.7794358643999,4.72677337045196,5.30052977405393,34216050,56948473,4522929,
Mexico,1995,16.919404883017,-7.98158731000851,3828.71702287945,35.3652366838663,37.0697162756602,58.8585990441075,59.4324919254818,4.64092841620976,5.20227139065192,34055337,55625654,4364588,
Mexico,1994,,2.95394983482444,5715.40999860321,35.8635026666301,37.5636327845787,58.4235688573286,59.0245406892013,4.56599344658809,5.11195664416861,33899500,54232991,4216656,
